Education,EmploymentStatus,TelecomCompany,ReasonForChoosing,DurationWithCompany,PlanType,Churn,ChurnReason_NetworkCoverage,ChurnReason_CustomerService,ChurnReason_Pricing,MonthlyCharges_Numeric,Gender_Numeric,AgeGroup_Numeric
Undergraduate,Employed part-time,Glo,Pricing,5 or more years,Postpaid,0,1,1,1,1,4,2
High school graduate,Unemployed,Vodafone,Customer Service,3-4 years,Postpaid,0,0,1,1,4,4,1
Undergraduate,Self-employed,Glo,Prefer not to say,1-2 years,Postpaid,1,0,0,0,3,1,1
Primary School,Unemployed,MTN,Pricing,Less than 6 months,Both,0,0,1,1,4,1,1
Primary School,Retired,Glo,Coverage,3-4 years,Postpaid,0,1,0,0,5,4,5
Undergraduate,Retired,AirtelTigo,Prefer not to say,6-12 months,Postpaid,0,0,0,0,2,3,5
Postgraduate,Student,MTN,Pricing,6-12 months,Both,1,1,1,1,6,3,4
No Education,Self-employed,MTN,Coverage,3-4 years,Postpaid,0,1,1,1,6,1,1
High school graduate,Employed part-time,MTN,Customer Service,3-4 years,Prepaid,1,0,0,1, ,3,1
No Education,Employed full-time,MTN,Coverage,3-4 years,Postpaid,0,1,1,0,2,3,4
Primary School,Retired,MTN,Customer Service,5 or more years,Postpaid,0,0,0,1,5,3,5
Prefer not to say,Student,MTN,Customer Service,Less than 6 months,Postpaid,1,1,0,1,4,2,2
Prefer not to say,Unemployed,MTN,Customer Service,3-4 years,Both,1,0,1,1,6,4,3
Primary School,Self-employed,MTN,Coverage,1-2 years,Postpaid,1,0,0,0,6,1,1
No Education,Retired,MTN,Coverage,1-2 years,Both,0,0,1,0,4,4,3
No Education,Retired,MTN,Prefer not to say,5 or more years,Both,0,1,0,1,4,1,5
Prefer not to say,Student,AirtelTigo,Coverage,Less than 6 months,Postpaid,0,1,0,1,5,1,1
Primary School,Retired,Vodafone,Prefer not to say,6-12 months,Both,0,0,1,0,7,1,1
No Education,Self-employed,MTN,Coverage,6-12 months,Both,1,1,1,1,5,3,4
No Education,Employed part-time,Vodafone,Prefer not to say,Less than 6 months,Prepaid,0,0,0,0,6,4,4
Postgraduate,Self-employed,AirtelTigo,Prefer not to say,3-4 years,Postpaid,0,0,1,1,3,3,4
No Education,Unemployed,Vodafone,Customer Service,3-4 years,Postpaid,0,1,0,1,4,3,4
No Education,Self-employed,MTN,Prefer not to say,1-2 years,Prepaid,0,1,0,1,4,3,5
Prefer not to say,Retired,MTN,Prefer not to say,6-12 months,Postpaid,0,1,0,0,3,1,2
Postgraduate,Retired,Vodafone,Customer Service,1-2 years,Prepaid,0,1,0,0,5,4,5
Primary School,Employed part-time,Vodafone,Prefer not to say,3-4 years,Both,0,0,1,1,6,1,1
Primary School,Employed full-time,MTN,Prefer not to say,6-12 months,Prepaid,0,1,0,1,6,1,4
High school graduate,Employed full-time,MTN,Coverage,3-4 years,Both,1,0,0,1,5,2,4
Prefer not to say,Student,Glo,Customer Service,5 or more years,Prepaid,1,0,1,1,2,1,2
Postgraduate,Self-employed,MTN,Prefer not to say,Less than 6 months,Both,0,1,0,1,4,3,5
Postgraduate,Student,Vodafone,Prefer not to say,1-2 years,Prepaid,1,1,1,1,1,3,3
Primary School,Student,MTN,Customer Service,3-4 years,Postpaid,1,0,1,0, ,1,3
Undergraduate,Self-employed,MTN,Pricing,5 or more years,Both,0,1,0,1,1,4,3
High school graduate,Unemployed,Vodafone,Customer Service,3-4 years,Postpaid,0,1,1,1,7,3,5
Prefer not to say,Self-employed,AirtelTigo,Prefer not to say,3-4 years,Prepaid,0,0,0,0, ,4,4
Undergraduate,Employed full-time,AirtelTigo,Pricing,1-2 years,Both,1,0,0,0,7,4,1
Undergraduate,Employed full-time,Glo,Coverage,3-4 years,Prepaid,1,0,0,1,1,2,5
Undergraduate,Employed full-time,MTN,Prefer not to say,Less than 6 months,Both,1,0,0,1,7,4,1
Undergraduate,Student,AirtelTigo,Pricing,3-4 years,Postpaid,0,0,1,1,4,4,2
Postgraduate,Employed full-time,Vodafone,Pricing,1-2 years,Postpaid,1,0,0,0,3,1,5
Undergraduate,Retired,MTN,Prefer not to say,3-4 years,Prepaid,1,1,1,1,2,1,4
No Education,Unemployed,MTN,Coverage,3-4 years,Postpaid,0,0,1,1,1,1,4
High school graduate,Unemployed,Glo,Customer Service,3-4 years,Prepaid,0,0,1,1,5,3,3
Prefer not to say,Employed full-time,MTN,Coverage,Less than 6 months,Prepaid,1,1,0,1,5,1,2
Prefer not to say,Unemployed,Glo,Prefer not to say,6-12 months,Postpaid,0,1,1,0,7,1,2
High school graduate,Self-employed,Glo,Prefer not to say,6-12 months,Postpaid,1,0,1,1, ,1,3
No Education,Unemployed,Vodafone,Customer Service,6-12 months,Both,0,1,1,0,4,2,4
High school graduate,Employed part-time,Vodafone,Prefer not to say,6-12 months,Postpaid,1,0,1,1,4,1,4
Undergraduate,Student,AirtelTigo,Customer Service,3-4 years,Both,0,0,0,1,4,2,4
Undergraduate,Retired,AirtelTigo,Prefer not to say,6-12 months,Prepaid,0,0,0,0,4,3,5
Undergraduate,Employed full-time,AirtelTigo,Coverage,3-4 years,Postpaid,1,0,1,1,4,1,3
No Education,Retired,MTN,Customer Service,Less than 6 months,Both,1,0,1,1, ,4,5
Prefer not to say,Student,AirtelTigo,Pricing,3-4 years,Postpaid,1,1,0,0, ,4,2
Primary School,Unemployed,MTN,Pricing,5 or more years,Both,1,0,0,1,3,4,5
High school graduate,Unemployed,Vodafone,Prefer not to say,5 or more years,Prepaid,0,0,1,0,4,3,1
Primary School,Employed full-time,Vodafone,Customer Service,6-12 months,Prepaid,1,0,1,0,5,4,4
Undergraduate,Self-employed,Vodafone,Pricing,3-4 years,Postpaid,0,1,1,1, ,2,3
No Education,Retired,AirtelTigo,Pricing,5 or more years,Postpaid,1,0,0,0,6,1,4
Primary School,Employed part-time,AirtelTigo,Coverage,1-2 years,Postpaid,0,0,1,1,6,3,5
High school graduate,Employed full-time,AirtelTigo,Coverage,3-4 years,Both,1,0,1,1, ,1,1
High school graduate,Student,MTN,Coverage,1-2 years,Prepaid,0,1,1,0,1,4,1
Postgraduate,Employed part-time,MTN,Prefer not to say,Less than 6 months,Prepaid,1,0,1,1,4,1,4
Undergraduate,Retired,Vodafone,Prefer not to say,5 or more years,Prepaid,1,0,0,0,1,1,2
Postgraduate,Unemployed,Glo,Pricing,5 or more years,Both,1,0,0,1,2,2,4
High school graduate,Self-employed,MTN,Pricing,1-2 years,Both,1,1,1,0, ,1,5
Primary School,Retired,Vodafone,Customer Service,Less than 6 months,Both,0,0,1,1, ,2,4
Postgraduate,Unemployed,MTN,Prefer not to say,6-12 months,Prepaid,1,1,0,1,6,2,2
Primary School,Self-employed,AirtelTigo,Pricing,5 or more years,Both,1,1,0,1,5,2,4
